time_ms,bid,ask,bid_vol,ask_vol
1774976982095,46.26715,46.27415,956016770,956016770
1774976982347,46.26785,46.27475,956016770,956016770
1774976982549,46.26895,46.27595,956016770,956016770
1774976982600,46.26845,46.27545,956016770,956016770
1774976984359,46.26915,46.27605,956016770,956016770
1774976984510,46.27215,46.27905,951893602,956016770
1774976984662,46.26975,46.27675,956016770,956016770
1774976984713,46.26815,46.27515,956016770,956016770
1774976984814,46.26965,46.27665,956016770,956016770
1774976985167,46.27025,46.27715,956016770,956016770
1774976985519,46.26945,46.27645,956016770,956016770
1774976985670,46.26995,46.27695,956016770,956016770
1774976985772,46.26825,46.27525,956016770,956016770
1774976985924,46.26855,46.27545,956016770,956016770
1774976986126,46.26845,46.27535,956016770,956016770
1774976986579,46.26925,46.27625,956016770,956016770
1774976986629,46.27265,46.27965,951893602,956016770
1774976987386,46.27295,46.27985,951893602,956016770
1774976987437,46.27265,46.27965,951893602,956016770
1774976987488,46.27205,46.27895,951893602,956016770
1774976987589,46.27275,46.27965,956016770,956016770
1774976987639,46.27355,46.28055,956016770,956016770
1774976987741,46.27385,46.28085,956016770,956016770
1774976988044,46.27185,46.27885,956016770,956016770
1774976988145,46.27115,46.27815,956016770,956016770
1774976988551,46.27155,46.27845,956016770,956016770
1774976988602,46.27155,46.27855,956016770,956016770
1774976988653,46.27135,46.27835,956016770,956016770
1774976988754,46.27115,46.27805,956016770,956016770
1774976988804,46.26905,46.27605,956016770,956016770
1774976989107,46.26905,46.27595,956016770,956016770
1774976989610,46.26925,46.27625,956016770,956016770
1774976989660,46.26945,46.27645,956016770,956016770
1774976989762,46.27115,46.27815,956016770,956016770
1774976989963,46.27225,46.27915,956016770,956016770
1774976990389,46.27165,46.27855,951893602,956016770
1774976990490,46.27025,46.27715,956016770,956016770
1774976992499,46.26995,46.27685,956016770,956016770
1774976992600,46.26955,46.27645,956016770,956016770
1774976992650,46.26915,46.27615,956016770,956016770
1774976992904,46.26605,46.27295,956016770,956016770
1774976993259,46.26605,46.27305,956016770,956016770
1774976993712,46.26555,46.27245,956016770,956016770
1774976993813,46.26505,46.27205,956016770,956016770
1774976993864,46.26545,46.27235,956016770,956016770
1774976994215,46.26615,46.27305,956016770,956016770
1774976994317,46.26565,46.27255,956016770,956016770
1774976994819,46.26655,46.27355,956016770,956016770
1774976994870,46.26635,46.27325,956016770,956016770
1774976994921,46.26655,46.27355,956016770,956016770
1774976995474,46.26695,46.27395,956016770,956016770
1774976995676,46.26705,46.27405,956016770,956016770
1774976995877,46.26775,46.27475,956016770,956016770
1774976997032,46.26695,46.27395,956016770,956016770
1774976997484,46.26785,46.27475,956016770,956016770
1774976998141,46.26705,46.27395,956016770,956016770
1774976998191,46.26655,46.27355,956016770,956016770
1774976998393,46.26635,46.27325,956016770,956016770
1774976999446,46.26655,46.27355,956016770,956016770
1774976999497,46.26705,46.27405,956016770,956016770
1774976999699,46.26765,46.27465,956016770,956016770
1774976999850,46.26705,46.27395,956016770,956016770
1774977000504,46.26725,46.27425,956016770,956016770
1774977001007,46.26665,46.27365,956016770,956016770
1774977001410,46.26755,46.27455,956016770,956016770
1774977001812,46.26675,46.27375,956016770,956016770
1774977002014,46.26745,46.27445,956016770,956016770
1774977002115,46.26738,46.27425,956016770,951893602
1774977002166,46.27315,46.28015,956016770,956016770
1774977002217,46.27365,46.28065,956016770,956016770
1774977002318,46.27345,46.28045,956016770,956016770
1774977002520,46.27285,46.27985,951893602,956016770
1774977002622,46.27075,46.27775,956016770,956016770
1774977002723,46.27035,46.27735,956016770,956016770
1774977002874,46.27075,46.27775,956016770,956016770
